2017-11-04T00:19:30+00:00 NOTICE Unable to download GeoIP Database: Forbidden
2017-11-04T00:19:30+00:00 NOTICE Unable to download GeoIP Database: Forbidden
2017-12-04T00:11:57+00:00 NOTICE Unable to download GeoIP Database: Forbidden
2017-12-04T00:11:57+00:00 NOTICE Unable to download GeoIP Database: Forbidden
2018-01-03T00:00:55+00:00 NOTICE Unable to download GeoIP Database: Forbidden
2018-01-03T00:00:55+00:00 NOTICE Unable to download GeoIP Database: Forbidden
2018-02-02T00:08:06+00:00 NOTICE Unable to download GeoIP Database: Forbidden
2018-02-02T00:08:06+00:00 NOTICE Unable to download GeoIP Database: Forbidden
2019-01-28T00:05:40+00:00 NOTICE Unable to download GeoIP Database: Not Found
2019-02-27T00:05:10+00:00 NOTICE Unable to download GeoIP Database: Not Found
2019-02-27T00:05:10+00:00 NOTICE Unable to download GeoIP Database: Not Found
2019-03-29T00:00:52+00:00 NOTICE Unable to download GeoIP Database: Not Found
2019-03-29T00:00:52+00:00 NOTICE Unable to download GeoIP Database: Not Found
2019-04-28T00:04:10+00:00 NOTICE Unable to download GeoIP Database: Not Found
2019-04-28T00:04:10+00:00 NOTICE Unable to download GeoIP Database: Not Found
2019-05-28T00:05:48+00:00 NOTICE Unable to download GeoIP Database: Not Found
2019-05-28T00:05:48+00:00 NOTICE Unable to download GeoIP Database: Not Found
2019-06-27T00:09:08+00:00 NOTICE Unable to download GeoIP Database: Not Found
2019-06-27T00:09:08+00:00 NOTICE Unable to download GeoIP Database: Not Found
2019-07-27T00:55:33+00:00 NOTICE Unable to download GeoIP Database: Not Found
2019-07-27T00:55:33+00:00 NOTICE Unable to download GeoIP Database: Not Found
